year,occ,ag,natres,constr,man_hvy,man_lgt,man_tech,man_bio,logis,ret_loc,ret_reg,transp,util,info,fire,lease,prof,serv_bus,art_rec,hotel,eat,serv_per,health,serv_soc,ed_k12,ed_high,ed_oth,gov,unclass
2012,man,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,man,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,man,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,man,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,man,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,man,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,man,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,man,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,man,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,man,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,man,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,man,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,man,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,man,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,man,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2027,man,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028,man,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2029,man,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2030,man,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2031,man,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2032,man,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2033,man,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2034,man,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2035,man,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2036,man,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2037,man,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2038,man,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2039,man,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2040,man,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2041,man,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2042,man,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2043,man,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2044,man,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2045,man,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2046,man,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2047,man,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2048,man,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2049,man,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2050,man,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,mil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,mil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,mil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,mil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,mil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,mil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,mil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,mil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,mil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,mil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,mil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,mil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,mil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,mil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,mil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,mil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,mil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2027,mil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028,mil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2029,mil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2030,mil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2031,mil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2032,mil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2033,mil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2034,mil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2035,mil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2036,mil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2037,mil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2038,mil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2039,mil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2040,mil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2041,mil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2042,mil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2043,mil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2044,mil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2045,mil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2046,mil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2047,mil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2048,mil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2049,mil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2050,mil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
