id,juris,city,name,max_far,max_height,max_dua,max_du_per_parcel,HS,HT,HM,OF,HO,SC,IL,IW,IH,RS,RB,MR,MT,ME,plandate
2907,9,Dixon,802 - Neighborhood Commercial,3,50,,,0,0,0,1,0,0,0,0,0,1,0,0,1,0,
2908,9,Dixon,802 - Community Commercial,0.8,20,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
2909,9,Dixon,802 - Highway Commercial,0.8,,,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,
2910,9,Dixon,802 - Services Commercial,0.8,40,,,0,0,0,0,1,0,0,0,0,1,1,0,0,0,
2911,9,Dixon,802 - Professional/Administrative Office,0.8,40,,,0,0,0,0,0,0,1,0,0,1,0,0,0,0,
2912,9,Dixon,802 - Core Area Mixed Use,1.2,30,,,0,0,0,1,0,0,0,0,0,1,0,0,0,0,
2913,9,Dixon,802 - General Industrial,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2914,9,Dixon,802 - Planned Business/Industrial,1.6,40,,,0,0,0,0,0,0,1,1,1,0,0,0,0,0,
2915,9,Dixon,802 - Industrial Employment Center,1.6,40,,,0,0,0,1,0,0,1,0,0,0,0,0,0,0,
2916,9,Dixon,802 - Planned Business/Industrial/Service Commercial,1.6,40,,,0,0,0,1,0,0,1,0,0,1,1,0,0,0,
2917,9,Dixon,802 - Services Commercial/Professional/Administrative Offices,1.6,40,,,0,0,0,1,0,0,1,0,0,1,1,0,0,0,
2918,9,Dixon,802 - Highway Commercial/Professional/Administrative Offices,1.2,30,,,0,0,0,1,0,0,1,0,0,1,0,0,0,0,
2919,9,Dixon,802 - Governmental/Institutional,1.2,30,,,0,0,0,1,1,0,0,0,0,1,1,0,0,0,
2920,9,Dixon,802 - Parks,,,,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
2921,9,Dixon,802 - School Buildings/Play Areas,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2922,9,Dixon,802 - Agricultural,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
2923,9,Fairfield,AI,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3001,10,Fairfield,AE,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3002,10,Fairfield,OSR,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3003,10,Fairfield,OSC,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3004,10,Fairfield,RVL,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3005,10,Fairfield,RL,,35,2.5,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,
3006,10,Fairfield,RLM,,35,4.5,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,
3007,10,Fairfield,RM,,35,8,,1,1,0,0,0,1,0,0,0,0,0,0,0,0,
3008,10,Fairfield,RH,,35,15,,1,1,1,0,0,1,0,0,0,0,0,0,0,0,
3009,10,Fairfield,RVH,,45,22,,1,1,1,0,0,1,0,0,0,0,0,0,0,0,
3010,10,Fairfield,CN,,45,32,,1,1,1,0,0,1,0,0,0,0,0,0,0,0,
3011,10,Fairfield,CC,0.4,35,,,1,1,1,1,0,0,0,0,0,1,0,0,0,0,
3012,10,Fairfield,CS,0.5,45,32,,1,1,1,1,1,0,0,0,0,1,0,1,1,1,
3013,10,Fairfield,CHR,1.5,45,32,,1,1,1,1,1,0,0,0,0,1,0,1,1,1,
3014,10,Fairfield,CO,0.5,35,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
3015,10,Fairfield,IBP,1,55,,,0,0,0,1,1,0,0,0,0,1,1,0,0,0,
3016,10,Fairfield,IL,1,45,,,1,1,1,1,0,0,0,0,0,0,0,0,0,0,
